"Category","Date","Related to Categories (1) (Expense Records)","Category-Select","Account","Amount","Name"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","28/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Long Term Investments","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",200000,"BOB FD"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","28/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Long Term Investments","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",9968.4,"GAIL Stocks"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","19/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Internal Bank Transfer","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""ef1abf91-0fb0-48aa-85fa-e4732326cb3d""}],""has_more"":false}",4587.03,"HDFC to KOTAK"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","23/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Mom","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1040,"MOM MYNTRA ORDER"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","25/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",250,"knee meds"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","25/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",300,"phone cover"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","25/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",250,"snacks and juice"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","24/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",682.98,"swiggy"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","23/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""d79b5be7-5f65-45f5-8a4d-7e7e96912c64""}],""has_more"":false}",189,"YOUTUBE SUBSCRIPTION"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","23/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Mom","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1300,"MOM MYNTRA ORDER"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","26/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Mom","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1100,"MOM chappal"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","21/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1200,"pizza at dicksha"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","21/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Medical","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",250,"hakeem on wednesday"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","21/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",5510,"cash taken"
